<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ВТБ ао;W;08/08/16;000000;0.068;29235730000
ВТБ ао;W;15/08/16;000000;0.067;86995120000
ВТБ ао;W;22/08/16;000000;0.0671;34134010000
ВТБ ао;W;29/08/16;000000;0.07375;109842700000
ВТБ ао;W;05/09/16;000000;0.07675;99205460000
ВТБ ао;W;12/09/16;000000;0.075;81688180000
ВТБ ао;W;19/09/16;000000;0.07529;47971770000
ВТБ ао;W;26/09/16;000000;0.0721;53778600000
ВТБ ао;W;03/10/16;000000;0.07018;33757390000
ВТБ ао;W;10/10/16;000000;0.0678;50447410000
ВТБ ао;W;17/10/16;000000;0.06753;29714500000
ВТБ ао;W;24/10/16;000000;0.06822;39003290000
ВТБ ао;W;31/10/16;000000;0.06754;23269770000
ВТБ ао;W;07/11/16;000000;0.06821;62906770000
ВТБ ао;W;14/11/16;000000;0.06775;50770320000
ВТБ ао;W;21/11/16;000000;0.0685;65429680000
ВТБ ао;W;28/11/16;000000;0.06835;91325500000
ВТБ ао;W;05/12/16;000000;0.07523;162080750000
ВТБ ао;W;12/12/16;000000;0.0737;169627420000
ВТБ ао;W;19/12/16;000000;0.07204;58939640000
ВТБ ао;W;26/12/16;000000;0.074;109863020000
ВТБ ао;W;02/01/17;000000;0.07097;57371650000
ВТБ ао;W;09/01/17;000000;0.06925;72056250000
ВТБ ао;W;16/01/17;000000;0.06843;56858390000
ВТБ ао;W;23/01/17;000000;0.0697;88917300000
ВТБ ао;W;30/01/17;000000;0.06929;46721840000
ВТБ ао;W;06/02/17;000000;0.06843;25647880000
ВТБ ао;W;13/02/17;000000;0.06793;41246850000
ВТБ ао;W;20/02/17;000000;0.06715;19592870000
ВТБ ао;W;27/02/17;000000;0.066;64799430000
ВТБ ао;W;06/03/17;000000;0.06505;102252170000
ВТБ ао;W;13/03/17;000000;0.06625;53617380000
ВТБ ао;W;20/03/17;000000;0.0664;42719630000
ВТБ ао;W;27/03/17;000000;0.06625;31619130000
ВТБ ао;W;03/04/17;000000;0.06559;42682690000
ВТБ ао;W;10/04/17;000000;0.06409;72624110000
ВТБ ао;W;17/04/17;000000;0.065;40522320000
ВТБ ао;W;24/04/17;000000;0.06671;52081100000
ВТБ ао;W;01/05/17;000000;0.06573;37739870000
ВТБ ао;W;08/05/17;000000;0.06567;15704980000
ВТБ ао;W;15/05/17;000000;0.06639;60239300000
ВТБ ао;W;22/05/17;000000;0.06637;40792930000
ВТБ ао;W;29/05/17;000000;0.0652;34069750000
ВТБ ао;W;05/06/17;000000;0.06525;30107520000
ВТБ ао;W;12/06/17;000000;0.0639;87138390000
ВТБ ао;W;19/06/17;000000;0.064;68523590000
ВТБ ао;W;26/06/17;000000;0.064;46375200000
ВТБ ао;W;03/07/17;000000;0.06368;29710150000
ВТБ ао;W;10/07/17;000000;0.0638;31214770000
ВТБ ао;W;17/07/17;000000;0.06373;33226180000
ВТБ ао;W;24/07/17;000000;0.0609;69762520000
ВТБ ао;W;31/07/17;000000;0.06082;51785870000
ВТБ ао;W;07/08/17;000000;0.06;50721240000
ВТБ ао;W;14/08/17;000000;0.05945;24695120000
ВТБ ао;W;21/08/17;000000;0.0602;28063640000
ВТБ ао;W;28/08/17;000000;0.06345;95863340000
ВТБ ао;W;04/09/17;000000;0.0616;83949330000
ВТБ ао;W;11/09/17;000000;0.0616;80003560000
ВТБ ао;W;18/09/17;000000;0.06129;50813830000
ВТБ ао;W;25/09/17;000000;0.06159;47447440000
ВТБ ао;W;02/10/17;000000;0.06145;53883720000
ВТБ ао;W;09/10/17;000000;0.061;41031390000
ВТБ ао;W;16/10/17;000000;0.06025;29972130000
ВТБ ао;W;23/10/17;000000;0.06049;29165670000
ВТБ ао;W;30/10/17;000000;0.0595;33027380000
ВТБ ао;W;06/11/17;000000;0.06011;66380760000
ВТБ ао;W;13/11/17;000000;0.05338;214941410000
ВТБ ао;W;20/11/17;000000;0.05338;86708340000
ВТБ ао;W;27/11/17;000000;0.0516;69854940000
ВТБ ао;W;04/12/17;000000;0.05066;41877860000
ВТБ ао;W;11/12/17;000000;0.05;95925400000
ВТБ ао;W;18/12/17;000000;0.04655;165396900000
ВТБ ао;W;25/12/17;000000;0.04732;90607940000
ВТБ ао;W;01/01/18;000000;0.0502;44864200000
ВТБ ао;W;08/01/18;000000;0.05096;94671610000
ВТБ ао;W;15/01/18;000000;0.04965;93562290000
ВТБ ао;W;22/01/18;000000;0.04935;87062130000
ВТБ ао;W;29/01/18;000000;0.0492;73148460000
ВТБ ао;W;05/02/18;000000;0.04707;136016600000
ВТБ ао;W;12/02/18;000000;0.0477;78182890000
ВТБ ао;W;19/02/18;000000;0.05175;120783060000
ВТБ ао;W;26/02/18;000000;0.05241;251727020000
ВТБ ао;W;05/03/18;000000;0.05628;114543770000
ВТБ ао;W;12/03/18;000000;0.05348;162525090000
ВТБ ао;W;19/03/18;000000;0.05328;107677350000
ВТБ ао;W;26/03/18;000000;0.05166;96304950000
ВТБ ао;W;02/04/18;000000;0.0554;226092630000
ВТБ ао;W;09/04/18;000000;0.05087;292411100000
ВТБ ао;W;16/04/18;000000;0.05289;124477680000
ВТБ ао;W;23/04/18;000000;0.0527;98639450000
ВТБ ао;W;30/04/18;000000;0.05275;48960910000
ВТБ ао;W;07/05/18;000000;0.05238;69815850000
ВТБ ао;W;14/05/18;000000;0.0512;136453630000
ВТБ ао;W;21/05/18;000000;0.05106;74252780000
ВТБ ао;W;28/05/18;000000;0.0474;264733030000
ВТБ ао;W;04/06/18;000000;0.04552;129780890000
ВТБ ао;W;11/06/18;000000;0.04451;85761020000
ВТБ ао;W;18/06/18;000000;0.0466;146343940000
ВТБ ао;W;25/06/18;000000;0.04801;103235580000
ВТБ ао;W;02/07/18;000000;0.0485;77337820000
ВТБ ао;W;09/07/18;000000;0.04975;80111900000
ВТБ ао;W;16/07/18;000000;0.04825;77055850000
ВТБ ао;W;23/07/18;000000;0.04782;48672640000
ВТБ ао;W;30/07/18;000000;0.04735;49644090000
ВТБ ао;W;06/08/18;000000;0.04337;141105460000
ВТБ ао;W;13/08/18;000000;0.04371;65456320000
ВТБ ао;W;20/08/18;000000;0.04102;103144840000
